0 0 796.5437472264 0.0000 0 1176.9858671527 0.0000 0 1229.1655225166 0.0000 0 1715.5291160505 0.0000 0 2102.7477295608 0.0000 0 832.5387599362 0.0000 0 1130.2266580458 0.0000 0 1258.9603407817 0.0000 0 1860.3432310181 0.0000 0 2198.7447534351 0.0000 0 1346.7095002005 0.0000 0 1087.9899709363 0.0000 0 1804.1799984885 0.0000 0 1108.7494145987 0.0000
5 7 591.2620014874 0.8873 8 1040.7331157959 0.8026 4 1009.8981499875 0.8180 2 1608.7128422544 0.6393 1 2102.7477295608 0.0000 17 561.4048268634 0.9894 7 1130.2266580458 0.0000 4 1258.9603407817 0.0000 2 1860.3432310181 0.0000 1 2198.7447534351 0.0000 2 1299.2358452421 0.8021 4 956.5510097387 0.8568 3 1804.1799984885 0.0000 4 1022.8549470570 0.8470
15 33 527.6748210713 0.9942 22 977.0853202406 0.8548 12 875.2920748594 0.9438 5 1404.2878636229 0.7323 2 2102.7477295608 0.0000 44 559.3053836190 0.9931 22 1130.2266580458 0.0000 12 967.2596993560 0.8953 5 1860.3432310181 0.0000 2 2198.7447534351 0.0000 6 1299.2358452421 0.8021 11 886.9478315640 0.9240 8 1804.1799984885 0.0000 11 975.0377581829 0.8886
20 46 527.6748210713 0.9942 30 956.0438233269 0.8737 15 861.6242195320 0.9588 6 1352.4931815769 0.7604 3 2102.7477295608 0.0000 57 556.6791413260 0.9978 30 1130.2266580458 0.0000 15 925.3856059796 0.9358 6 1860.3432310181 0.0000 3 2198.7447534351 0.0000 9 1284.6759544965 0.8112 15 884.0655945723 0.9270 10 1804.1799984885 0.0000 15 955.6497635958 0.9066
35 85 524.6111466425 1.0000 52 923.6282051929 0.9043 27 849.7862365388 0.9722 10 1235.1758241911 0.8326 5 1971.2192568054 0.6552 97 556.6791413260 0.9978 53 1130.2266580458 0.0000 27 902.9346852919 0.9590 10 1860.3432310181 0.0000 5 2198.7447534351 0.0000 15 1232.4871132741 0.8455 25 876.3038906126 0.9352 17 1804.1799984885 0.0000 25 929.7031863750 0.9319
40 99 524.6111466425 1.0000 60 923.6282051929 0.9043 31 844.5501195792 0.9782 12 1191.2231384896 0.8633 6 1845.4364645246 0.6998 110 556.6791413260 0.9978 60 1130.2266580458 0.0000 31 901.7971753229 0.9602 12 1860.3432310181 0.0000 6 2198.7447534351 0.0000 17 1228.5288437858 0.8483 29 864.7397340410 0.9478 20 1804.1799984885 0.0000 29 927.8936079000 0.9337
55 136 524.6111466425 1.0000 82 920.0230319307 0.9079 42 839.3599331152 0.9842 16 1178.5729518188 0.8726 8 1713.6654656789 0.7536 152 555.4302364991 1.0000 84 936.5911808015 0.9713 42 891.0204003937 0.9719 16 1374.9202928330 0.8455 8 2198.7447534351 0.0000 23 1206.2122127340 0.8640 40 851.7890682755 0.9622 26 1804.1799984885 0.0000 38 917.5606984708 0.9442
70 176 524.6111466425 1.0000 106 891.2299913176 0.9372 53 838.6982935187 0.9850 20 1175.1736908779 0.8751 10 1669.0010150198 0.7738 194 555.4302364991 1.0000 108 932.3863312334 0.9756 54 888.2975863648 0.9748 21 1307.2965807961 0.8893 10 2198.7447534351 0.0000 29 1206.2122127340 0.8640 51 850.0486413110 0.9641 34 1804.1799984885 0.0000 49 896.8526210987 0.9660
85 219 524.6111466425 1.0000 129 890.6604842103 0.9378 65 837.7105825785 0.9862 25 1161.1233792484 0.8857 12 1657.4540383991 0.7792 240 555.4302364991 1.0000 132 929.7105977359 0.9785 66 882.9033718495 0.9808 25 1298.5925433259 0.8952 12 2198.7447534351 0.0000 36 1175.1784811735 0.8868 62 843.8588890256 0.9712 42 1804.1799984885 0.0000 61 890.9296928228 0.9724
95 249 524.6111466425 1.0000 146 884.9553836903 0.9438 72 835.0588245690 0.9893 27 1144.3789188863 0.8987 14 1617.0324174326 0.7987 272 555.4302364991 1.0000 149 929.5417667576 0.9786 74 879.9649290515 0.9841 28 1298.1604234110 0.8955 13 2198.7447534351 0.0000 40 1161.4762380880 0.8972 69 843.2128840929 0.9719 47 1804.1799984885 0.0000 68 889.6273726105 0.9739
110 295 524.6111466425 1.0000 171 882.7995191420 0.9461 84 832.8531440743 0.9919 32 1139.0963368064 0.9028 16 1605.5728643999 0.8044 321 555.4302364991 1.0000 175 923.9635131751 0.9845 86 875.7164517217 0.9888 33 1286.6335235554 0.9036 15 2198.7447534351 0.0000 47 1147.1512246459 0.9084 80 840.7753705177 0.9748 54 1804.1799984885 0.0000 80 889.2924574262 0.9742
125 344 524.6111466425 1.0000 197 880.9854622076 0.9481 95 831.8819114600 0.9931 36 1133.5163672430 0.9073 18 1604.1729850733 0.8051 376 555.4302364991 1.0000 201 921.2185289559 0.9875 98 875.7164517217 0.9888 38 1279.7892718873 0.9084 17 2198.7447534351 0.0000 53 1147.1512246459 0.9084 91 840.7753705177 0.9748 62 1804.1799984885 0.0000 91 889.2924574262 0.9742
130 361 524.6111466425 1.0000 206 872.6047562511 0.9572 99 830.8736925822 0.9943 37 1133.5163672430 0.9073 19 1590.9837442884 0.8117 395 555.4302364991 1.0000 210 921.2185289559 0.9875 101 875.7164517217 0.9888 39 1278.6877962336 0.9092 18 2198.7447534351 0.0000 55 1146.9688133089 0.9086 95 837.8104316985 0.9782 64 1804.1799984885 0.0000 95 889.2924574262 0.9742
145 416 524.6111466425 1.0000 233 871.8906832965 0.9580 111 830.8736925822 0.9943 42 1107.4028925580 0.9287 21 1559.0458172654 0.8284 457 555.4302364991 1.0000 238 921.2185289559 0.9875 113 875.7164517217 0.9888 44 1269.1415235397 0.9160 20 2198.7447534351 0.0000 61 1144.9781085239 0.9102 106 836.9421393061 0.9792 72 1804.1799984885 0.0000 107 884.0918123745 0.9800
160 475 524.6111466425 1.0000 261 871.8906832965 0.9580 122 830.8736925822 0.9943 46 1103.2405908161 0.9322 23 1546.6805229463 0.8350 526 555.4302364991 1.0000 266 919.4045570213 0.9894 126 874.0980336075 0.9907 48 1258.2454663898 0.9239 22 2198.7447534351 0.0000 68 1139.0494297889 0.9149 118 836.9026096304 0.9793 80 1804.1799984885 0.0000 119 882.2667534866 0.9820
165 495 524.6111466425 1.0000 271 865.9860403894 0.9645 126 830.8736925822 0.9943 48 1103.2405908161 0.9322 24 1544.8058321182 0.8360 552 555.4302364991 1.0000 276 916.5751072312 0.9925 130 872.9307944623 0.9920 50 1248.7526047969 0.9310 23 2198.7447534351 0.0000 70 1139.0494297889 0.9149 122 836.9026096304 0.9793 82 1804.1799984885 0.0000 122 882.2667534866 0.9820
180 563 524.6111466425 1.0000 300 865.9860403894 0.9645 138 830.8736925822 0.9943 52 1095.1977824193 0.9390 26 1529.9362713379 0.8441 640 555.4302364991 1.0000 305 916.5751072312 0.9925 142 872.7974009611 0.9921 54 1244.6037868419 0.9341 25 1666.1485531155 0.8378 77 1139.0494297889 0.9149 133 831.8721844291 0.9852 89 1804.1799984885 0.0000 134 882.2667534866 0.9820
