0 0 2104.7496318258 0.0000 0 2183.4663206801 0.0000
5 3 2104.7496318258 0.0000 4 2183.4663206801 0.0000
10 7 1792.3943699015 0.7205 8 2183.4663206801 0.0000
15 11 1792.3943699015 0.7205 12 2183.4663206801 0.0000
20 15 1603.7749246573 0.8053 16 2183.4663206801 0.0000
25 19 1603.7749246573 0.8053 20 2183.4663206801 0.0000
30 23 1521.1142390923 0.8490 24 2183.4663206801 0.0000
35 28 1496.5237036492 0.8630 29 2183.4663206801 0.0000
40 32 1487.5448994756 0.8682 31 1605.5649721987 0.8694
45 37 1467.9663413904 0.8798 35 1603.7546979957 0.8704
50 41 1466.3061457367 0.8808 39 1596.4310215765 0.8744
55 46 1466.3061457367 0.8808 44 1587.4502210897 0.8793
60 51 1466.3061457367 0.8808 48 1584.7565164911 0.8808
65 56 1458.8128599782 0.8853 53 1574.5495676447 0.8865
70 61 1454.2004337213 0.8881 57 1574.5495676447 0.8865
75 66 1453.2003832005 0.8887 62 1574.5495676447 0.8865
80 71 1450.5439289736 0.8903 67 1574.5495676447 0.8865
85 77 1450.4843039705 0.8904 72 1558.1086992056 0.8959
90 83 1447.8613804750 0.8920 78 1558.1086992056 0.8959
95 88 1446.4387135621 0.8928 84 1557.0727033553 0.8965
100 95 1442.8155867026 0.8951 90 1553.9573165360 0.8983
105 101 1435.1605489657 0.8999 96 1553.9573165360 0.8983
110 107 1431.3274119611 0.9023 103 1548.0279120720 0.9017
115 114 1427.9563794579 0.9044 110 1534.9372351507 0.9094
120 122 1422.9729334995 0.9076 117 1534.9203783393 0.9094
125 130 1416.3115809068 0.9118 124 1530.0889205901 0.9123
130 138 1410.2916217305 0.9157 132 1526.9852091050 0.9141
135 147 1409.4567427999 0.9163 140 1523.9385692551 0.9159
140 157 1406.9529145145 0.9179 150 1516.4129550443 0.9205
145 168 1406.5233284473 0.9182 160 1516.4129550443 0.9205
150 182 1406.3958278254 0.9183 171 1516.3475404457 0.9205
155 199 1405.9131504744 0.9186 185 1510.7664977312 0.9239
160 224 1405.3464654868 0.9190 200 1507.0756567587 0.9262
165 253 1392.7560174428 0.9273 226 1506.0456313671 0.9268
170 283 1383.6372972000 0.9334 257 1504.4346195388 0.9278
175 313 1379.4202909179 0.9362 287 1494.0650902656 0.9343
180 343 1379.3373624275 0.9363 317 1485.6409637428 0.9396
185 373 1378.7186536233 0.9367 348 1485.6409637428 0.9396
190 403 1377.6852292332 0.9374 380 1483.1644263057 0.9411
195 431 1377.6356536323 0.9374 411 1482.7357953578 0.9414
200 460 1376.9024085215 0.9379 442 1482.7357953578 0.9414
205 490 1376.4194917927 0.9383 474 1482.2573982758 0.9417
210 520 1376.2062496379 0.9384 504 1482.2573982758 0.9417
215 549 1376.2062496379 0.9384 536 1480.3108355411 0.9429
220 578 1376.2062496379 0.9384 567 1480.3108355411 0.9429
225 607 1376.2062496379 0.9384 597 1478.5097737880 0.9441
230 638 1376.1384772806 0.9385 627 1478.1718106883 0.9443
235 668 1372.9538501183 0.9406 657 1477.9605672553 0.9444
240 697 1370.6103354968 0.9422 689 1477.1956809709 0.9449
245 726 1369.6163982012 0.9429 720 1477.1956809709 0.9449
250 756 1369.6163982012 0.9429 750 1476.7540942364 0.9452
255 788 1369.6163982012 0.9429 780 1476.7540942364 0.9452
260 818 1369.6163982012 0.9429 811 1476.7540942364 0.9452
265 848 1369.6163982012 0.9429 842 1476.7540942364 0.9452
270 878 1369.6163982012 0.9429 873 1474.5241925158 0.9466
275 907 1369.6163982012 0.9429 905 1474.5241925158 0.9466
280 935 1365.7394502438 0.9456 936 1474.5241925158 0.9466
285 966 1365.5318738674 0.9457 966 1474.5225180257 0.9466
290 997 1365.5318738674 0.9457 996 1474.5225180257 0.9466
295 1027 1365.5318738674 0.9457 1029 1471.4021545388 0.9487
300 1056 1365.5318738674 0.9457 1061 1471.4021545388 0.9487
305 1084 1365.5318738674 0.9457 1091 1471.4021545388 0.9487
310 1114 1365.5318738674 0.9457 1117 1471.4021545388 0.9487
315 1142 1365.5318738674 0.9457 1145 1471.4021545388 0.9487
320 1172 1365.5318738674 0.9457 1170 1471.4021545388 0.9487
325 1201 1365.5318738674 0.9457 1198 1471.4021545388 0.9487
330 1230 1365.5318738674 0.9457 1229 1471.4021545388 0.9487
335 1260 1365.5318738674 0.9457 1260 1471.4021545388 0.9487
340 1289 1365.5318738674 0.9457 1291 1468.1766840164 0.9507
345 1318 1365.5318738674 0.9457 1322 1468.1766840164 0.9507
350 1348 1365.5318738674 0.9457 1351 1467.8559591493 0.9509
355 1377 1365.5318738674 0.9457 1379 1467.8559591493 0.9509
360 1406 1365.5318738674 0.9457 1410 1467.8559591493 0.9509
365 1437 1365.5318738674 0.9457 1441 1467.8559591493 0.9509
370 1466 1360.9192846040 0.9490 1472 1467.8559591493 0.9509
375 1495 1359.9481537176 0.9496 1503 1467.8559591493 0.9509
380 1525 1359.9481537176 0.9496 1534 1467.8559591493 0.9509
385 1554 1359.9481537176 0.9496 1566 1467.8559591493 0.9509
390 1584 1358.9808169382 0.9503 1597 1467.5840004013 0.9511
395 1613 1358.6410443269 0.9505 1628 1467.5840004013 0.9511
400 1642 1358.6410443269 0.9505 1654 1467.5840004013 0.9511
405 1673 1358.0012973772 0.9510 1681 1467.5840004013 0.9511
410 1702 1357.9685434319 0.9510 1709 1467.5840004013 0.9511
415 1732 1357.9685434319 0.9510 1741 1467.5840004013 0.9511
420 1761 1357.9685434319 0.9510 1772 1467.5593545381 0.9511
