0 0 754.2284520700 0.0000 0 1079.8394268063 0.0000 0 1255.0151426420 0.0000 0 1762.9448648287 0.0000 0 2102.7498898432 0.0000 0 837.6203898849 0.0000 0 1125.4375723040 0.0000 0 1303.4534043916 0.0000 0 1643.9829339334 0.0000 0 2094.2436057829 0.0000 0 1557.3324771558 0.0000 0 1041.6142492371 0.0000 0 1434.0416161608 0.0000 0 1264.2534137388 0.0000
5 73 544.2499542595 0.9639 93 998.9355183864 0.8362 45 888.9725848260 0.9293 19 1293.1934092598 0.7953 11 1844.0617397628 0.7003 177 564.8905759802 0.9833 95 1125.4375723040 0.0000 45 946.1757739350 0.9152 18 1643.9829339334 0.0000 11 2094.2436057829 0.0000 29 1310.1025668971 0.7954 48 896.3777678436 0.9143 31 1434.0416161608 0.0000 48 939.3144205499 0.9223
10 217 539.4049294419 0.9726 187 915.2634376506 0.9126 88 856.9031798878 0.9641 38 1215.8372336281 0.8459 20 1738.7674349158 0.7427 354 558.9902011313 0.9936 188 1125.4375723040 0.0000 91 915.2835332208 0.9461 35 1343.2959633828 0.8654 21 2094.2436057829 0.0000 57 1250.8065785306 0.8332 95 879.0679305605 0.9323 62 1434.0416161608 0.0000 97 933.4507129998 0.9281
15 376 539.3160566052 0.9727 280 894.7513822695 0.9335 133 852.5415702016 0.9690 56 1147.5655957523 0.8962 31 1678.3142059431 0.7695 529 558.9902011313 0.9936 282 1125.4375723040 0.0000 136 903.8017416920 0.9581 52 1342.8321962763 0.8657 31 2094.2436057829 0.0000 85 1216.0306395861 0.8570 143 879.0679305605 0.9323 95 1434.0416161608 0.0000 145 918.2024713082 0.9436
20 540 539.3160566052 0.9727 374 892.2598747644 0.9361 176 849.9597367202 0.9720 75 1110.3949306567 0.9262 40 1643.4483711702 0.7858 702 558.9902011313 0.9936 373 1125.4375723040 0.0000 180 893.4977075162 0.9692 68 1314.2847821604 0.8845 41 2094.2436057829 0.0000 113 1192.7462068672 0.8737 190 879.0679305605 0.9323 128 1434.0416161608 0.0000 192 908.1019307883 0.9540
25 709 539.3160566052 0.9727 468 892.2598747644 0.9361 220 848.9158132949 0.9732 93 1106.6831880230 0.9293 50 1629.1604149564 0.7927 877 558.9283931846 0.9937 466 1125.4375723040 0.0000 224 885.8235324884 0.9776 82 1314.2847821604 0.8845 52 2094.2436057829 0.0000 141 1172.0147130623 0.8892 237 873.3767375555 0.9384 161 1434.0416161608 0.0000 237 904.5757760504 0.9578
30 881 527.9777035857 0.9936 562 887.3018675054 0.9413 264 848.6757174205 0.9734 111 1105.9782034375 0.9299 60 1589.2714108411 0.8126 1055 556.6791413260 0.9978 558 1125.4375723040 0.0000 269 885.8235324884 0.9776 98 1306.0138520814 0.8902 62 2094.2436057829 0.0000 168 1161.4005176174 0.8973 281 873.3767375555 0.9384 193 1434.0416161608 0.0000 286 904.5757760504 0.9578
35 1055 527.9777035857 0.9936 653 883.0261503223 0.9459 308 843.8303902446 0.9790 129 1105.1886907373 0.9305 70 1579.5048273280 0.8176 1228 556.6791413260 0.9978 651 1125.4375723040 0.0000 313 882.5093956671 0.9812 117 1298.9020171599 0.8950 72 2094.2436057829 0.0000 191 1160.9982544121 0.8976 325 873.3767375555 0.9384 226 1434.0416161608 0.0000 334 904.5757760504 0.9578
40 1229 527.9777035857 0.9936 745 878.5773893500 0.9507 342 843.8303902446 0.9790 148 1099.0915321532 0.9357 81 1572.2979121723 0.8214 1400 556.6791413260 0.9978 745 1125.4375723040 0.0000 359 882.4336570897 0.9813 135 1284.7552490281 0.9049 83 2094.2436057829 0.0000 213 1157.8023358125 0.9001 359 873.1371663057 0.9386 258 1434.0416161608 0.0000 382 904.5757760504 0.9578
45 1401 527.9777035857 0.9936 839 875.7447069751 0.9538 382 843.8303902446 0.9790 167 1092.8898289275 0.9410 91 1530.7852810406 0.8437 1566 556.6791413260 0.9978 839 949.0950605948 0.9585 393 882.2873092015 0.9815 154 1280.1155813419 0.9082 93 1672.9221278562 0.8344 238 1154.4025938757 0.9027 404 862.5303083877 0.9502 291 1434.0416161608 0.0000 429 892.9122050469 0.9703
50 1572 527.9777035857 0.9936 930 872.6835627111 0.9571 420 843.8303902446 0.9790 185 1092.8898289275 0.9410 101 1530.3882793560 0.8439 1735 556.6791413260 0.9978 934 945.9231076981 0.9617 431 882.2873092015 0.9815 171 1271.0506842340 0.9146 104 1667.2845375654 0.8372 265 1150.7659789348 0.9056 444 862.5303083877 0.9502 321 1434.0416161608 0.0000 479 892.9122050469 0.9703
55 1739 527.9777035857 0.9936 1023 861.6484153458 0.9694 465 843.6278233972 0.9793 204 1090.2170257628 0.9433 111 1522.7091003052 0.8481 1902 556.6791413260 0.9978 1030 945.9231076981 0.9617 473 882.1468671618 0.9816 188 1269.9471848450 0.9154 115 1666.2606516432 0.8377 293 1150.7659789348 0.9056 487 862.5303083877 0.9502 354 1434.0416161608 0.0000 528 892.9122050469 0.9703
60 1895 527.9777035857 0.9936 1117 861.6484153458 0.9694 507 843.6278233972 0.9793 223 1085.6875921782 0.9473 121 1522.7030736621 0.8481 2064 556.6791413260 0.9978 1121 937.4360515259 0.9704 517 882.1468671618 0.9816 208 1269.9471848450 0.9154 125 1666.2606516432 0.8377 321 1150.7659789348 0.9056 533 862.5303083877 0.9502 386 1434.0416161608 0.0000 577 892.9122050469 0.9703
