0 0 1695.2663601818 0.0000 0 2057.7862788725 0.0000 0 1266.9388362660 0.0000 0 1731.1081759425 0.0000 0 2347.6762595562 0.0000 0 1527.2214630918 0.0000 0 1637.2329236298 0.0000
5 16 1190.5815163673 0.8638 12 1569.5458915999 0.8228 69 1266.9388362660 0.0000 20 1731.1081759425 0.0000 11 2347.6762595562 0.0000 34 1527.2214630918 0.0000 31 1637.2329236298 0.0000
10 37 1098.3623439354 0.9363 23 1466.6785762966 0.8805 136 1266.9388362660 0.0000 39 1272.4414589614 0.9136 22 2347.6762595562 0.0000 67 1527.2214630918 0.0000 61 1607.6908685088 0.9586
15 57 1080.7853098113 0.9515 34 1443.6453231065 0.8946 203 1266.9388362660 0.0000 57 1266.7815304861 0.9177 32 2347.6762595562 0.0000 102 1527.2214630918 0.0000 91 1588.4297908413 0.9702
20 78 1070.7063925061 0.9605 45 1443.6453231065 0.8946 269 1266.9388362660 0.0000 76 1266.7815304861 0.9177 43 2347.6762595562 0.0000 136 1527.2214630918 0.0000 121 1578.5454008052 0.9763
25 99 1066.0346928842 0.9647 56 1432.3974542462 0.9016 335 1266.9388362660 0.0000 96 1266.7815304861 0.9177 53 2347.6762595562 0.0000 169 1527.2214630918 0.0000 152 1573.4919034212 0.9794
30 119 1061.9645984312 0.9684 67 1426.5794211360 0.9053 402 1266.9388362660 0.0000 115 1266.7815304861 0.9177 63 2347.6762595562 0.0000 202 1527.2214630918 0.0000 182 1570.9448450184 0.9810
35 139 1059.8846771726 0.9703 78 1426.5794211360 0.9053 468 1266.9388362660 0.0000 133 1266.7815304861 0.9177 74 2347.6762595562 0.0000 235 1527.2214630918 0.0000 202 1570.9448450184 0.9810
40 160 1059.0289306231 0.9711 89 1415.7134955066 0.9122 532 1266.9388362660 0.0000 153 1266.7815304861 0.9177 84 2347.6762595562 0.0000 268 1527.2214630918 0.0000 232 1567.0110324991 0.9835
45 181 1059.0289306231 0.9711 100 1411.0992720415 0.9152 594 1266.9388362660 0.0000 173 1266.7815304861 0.9177 95 2347.6762595562 0.0000 300 1527.2214630918 0.0000 264 1564.7924664361 0.9849
50 200 1058.6769444540 0.9714 111 1406.3752442262 0.9183 661 1266.9388362660 0.0000 193 1199.9613004329 0.9688 105 2347.6762595562 0.0000 334 1527.2214630918 0.0000 296 1562.2910968641 0.9865
55 221 1055.4944277882 0.9743 123 1403.5948124672 0.9201 727 1266.9388362660 0.0000 213 1199.9613004329 0.9688 115 2347.6762595562 0.0000 363 1527.2214630918 0.0000 328 1561.1877999314 0.9872
60 242 1054.6931068973 0.9751 134 1401.0048298668 0.9218 793 1266.9388362660 0.0000 233 1197.0973899108 0.9711 124 2347.6762595562 0.0000 397 1527.2214630918 0.0000 359 1561.1877999314 0.9872
65 262 1054.6931068973 0.9751 145 1401.0048298668 0.9218 856 1266.9388362660 0.0000 253 1197.0973899108 0.9711 134 2347.6762595562 0.0000 430 1527.2214630918 0.0000 391 1561.1877999314 0.9872
70 282 1054.6931068973 0.9751 156 1401.0048298668 0.9218 923 1266.9388362660 0.0000 272 1196.6157416800 0.9715 145 2347.6762595562 0.0000 463 1527.2214630918 0.0000 422 1561.1877999314 0.9872
75 303 1054.6931068973 0.9751 167 1398.1860727069 0.9237 989 1266.9388362660 0.0000 292 1194.5631081865 0.9732 155 2347.6762595562 0.0000 496 1527.2214630918 0.0000 452 1560.8474934223 0.9874
80 323 1054.6931068973 0.9751 177 1396.6757692647 0.9247 1057 1266.9388362660 0.0000 312 1194.5631081865 0.9732 165 2347.6762595562 0.0000 527 1527.2214630918 0.0000 484 1559.0523325360 0.9885
85 344 1054.6931068973 0.9751 188 1396.1929915123 0.9250 1122 1266.9388362660 0.0000 332 1194.5631081865 0.9732 176 2347.6762595562 0.0000 560 1527.2214630918 0.0000 516 1558.7818687517 0.9887
90 365 1054.6931068973 0.9751 199 1396.1929915123 0.9250 1185 1266.9388362660 0.0000 352 1194.5631081865 0.9732 186 2347.6762595562 0.0000 592 1527.2214630918 0.0000 547 1558.7818687517 0.9887
95 386 1054.6931068973 0.9751 210 1393.9867335953 0.9264 1251 1266.9388362660 0.0000 372 1194.5631081865 0.9732 197 2347.6762595562 0.0000 626 1527.2214630918 0.0000 578 1558.7818687517 0.9887
100 406 1054.6931068973 0.9751 220 1393.9867335953 0.9264 1318 1266.9388362660 0.0000 393 1192.6939110210 0.9747 207 2347.6762595562 0.0000 660 1527.2214630918 0.0000 609 1558.7818687517 0.9887
105 427 1054.6931068973 0.9751 232 1384.0189601145 0.9331 1385 1266.9388362660 0.0000 413 1189.0856616610 0.9777 217 2347.6762595562 0.0000 692 1527.2214630918 0.0000 640 1558.7818687517 0.9887
110 447 1054.6931068973 0.9751 243 1383.2881275230 0.9336 1452 1266.9388362660 0.0000 433 1189.0856616610 0.9777 228 2347.6762595562 0.0000 725 1527.2214630918 0.0000 672 1558.7818687517 0.9887
115 468 1054.6931068973 0.9751 254 1382.0550286079 0.9344 1518 1266.9388362660 0.0000 453 1189.0856616610 0.9777 239 2347.6762595562 0.0000 758 1527.2214630918 0.0000 704 1558.7818687517 0.9887
120 488 1054.6931068973 0.9751 265 1378.8156135087 0.9366 1587 1266.9388362660 0.0000 474 1189.0856616610 0.9777 249 2347.6762595562 0.0000 791 1527.2214630918 0.0000 735 1558.7818687517 0.9887
125 509 1054.6931068973 0.9751 276 1377.7377222088 0.9374 1656 1266.9388362660 0.0000 494 1189.0856616610 0.9777 260 2347.6762595562 0.0000 824 1527.2214630918 0.0000 766 1558.7818687517 0.9887
