0 0 823.9371950007 0.0000 0 1232.1688610445 0.0000 0 1307.3076865030 0.0000 0 1679.8215268087 0.0000 0 2063.2270713848 0.0000 0 749.1450474007 0.0000 0 1086.2891664892 0.0000 0 1374.9476069822 0.0000 0 1837.7304274555 0.0000 0 2116.0568707387 0.0000 0 1286.5174161221 0.0000 0 1100.1897626280 0.0000 0 1627.3339806337 0.0000 0 1055.1313616322 0.0000
5 149 524.6111466425 1.0000 61 921.3829980162 0.9065 23 863.2362323884 0.9570 9 1240.1841521675 0.8292 4 2101.3999547443 0.6146 242 560.2436976641 0.9914 80 975.5360989944 0.9325 24 906.6673227867 0.9551 9 1837.7304274555 0.0000 4 2116.0568707387 0.0000 13 1285.2889183507 0.8108 23 873.0410217959 0.9387 15 1627.3339806337 0.0000 26 953.2089673623 0.9089
10 513 524.6111466425 1.0000 315 885.2608055528 0.9435 72 846.3069353830 0.9762 18 1154.0082342889 0.8912 9 1645.4563003345 0.7849 591 560.2436976641 0.9914 335 946.0952287239 0.9615 78 883.8645843596 0.9797 18 1837.7304274555 0.0000 9 2116.0568707387 0.0000 29 1211.4546424508 0.8602 76 847.0488199586 0.9675 36 1627.3339806337 0.0000 96 881.5227569249 0.9828
15 893 524.6111466425 1.0000 566 850.4991747768 0.9821 194 837.8823084517 0.9860 29 1130.4513186410 0.9097 13 1615.3998899180 0.7995 968 560.2436976641 0.9914 584 930.1129880853 0.9780 200 878.7090889247 0.9855 29 1343.1272028102 0.8656 13 2116.0568707387 0.0000 53 1196.1838660704 0.8712 196 827.2010619601 0.9908 93 1710.3140474648 0.9011 239 877.8019506709 0.9870
20 1283 524.6111466425 1.0000 818 848.8755330653 0.9840 317 836.5863697410 0.9875 43 1100.2205332536 0.9347 18 1558.8404033761 0.8285 1287 560.2436976641 0.9914 837 929.6231729240 0.9785 325 876.2626646691 0.9882 39 1318.3365276363 0.8818 17 2116.0568707387 0.0000 131 1175.8080495061 0.8863 321 827.2010619601 0.9908 194 1653.8319260217 0.9319 380 875.6040402481 0.9895
25 1614 524.6111466425 1.0000 1057 848.8755330653 0.9840 439 836.5863697410 0.9875 73 1087.2723361151 0.9459 23 1525.9485677290 0.8463 1518 560.2436976641 0.9914 1087 924.1697165839 0.9843 446 876.2626646691 0.9882 58 1283.9971860669 0.9054 23 2116.0568707387 0.0000 216 1164.7374024017 0.8947 443 827.2010619601 0.9908 294 1609.0182177130 0.9578 519 875.1012732865 0.9900
30 1924 524.6111466425 1.0000 1304 846.2123936215 0.9871 562 836.5863697410 0.9875 132 1080.3535791561 0.9519 29 1491.4008988466 0.8659 1818 560.2436976641 0.9914 1333 924.1697165839 0.9843 571 876.2626646691 0.9882 113 1248.2991992585 0.9313 29 1606.2785568049 0.8690 298 1159.6095937484 0.8987 569 827.0124502609 0.9910 393 1607.2379144959 0.9589 659 875.1012732865 0.9900
35 2235 524.6111466425 1.0000 1560 846.2123936215 0.9871 680 836.5863697410 0.9875 188 1074.0083511108 0.9576 36 1468.5504029330 0.8794 2123 560.2436976641 0.9914 1576 924.1697165839 0.9843 696 876.2626646691 0.9882 172 1230.8858631728 0.9445 36 1592.5449831061 0.8765 380 1159.6095937484 0.8987 698 827.0124502609 0.9910 495 1600.7383800973 0.9628 800 875.1012732865 0.9900
40 2586 524.6111466425 1.0000 1813 846.0383142629 0.9873 802 836.5863697410 0.9875 246 1074.0083511108 0.9576 45 1467.3453596255 0.8801 2392 560.2436976641 0.9914 1821 924.1697165839 0.9843 819 876.2626646691 0.9882 232 1215.8608558681 0.9562 44 1587.2405398534 0.8794 460 1155.2925090194 0.9020 822 827.0124502609 0.9910 592 1597.6573753304 0.9646 945 875.1012732865 0.9900
45 2947 524.6111466425 1.0000 2060 846.0383142629 0.9873 921 836.5863697410 0.9875 303 1072.1162448645 0.9592 57 1464.3187075180 0.8819 2676 560.2436976641 0.9914 2056 924.1697165839 0.9843 942 876.2626646691 0.9882 289 1212.6784092200 0.9587 56 1573.6639107183 0.8870 543 1152.9130363887 0.9039 946 826.0516124283 0.9921 692 1596.3861901544 0.9654 1086 874.9126615873 0.9902
50 3288 524.6111466425 1.0000 2312 846.0383142629 0.9873 1040 836.5863697410 0.9875 359 1068.2870335468 0.9627 85 1461.9653077648 0.8834 2959 560.2436976641 0.9914 2285 922.9976156991 0.9856 1066 876.2626646691 0.9882 345 1212.6784092200 0.9587 82 1544.9594192109 0.9035 627 1152.9130363887 0.9039 1071 825.6486929660 0.9926 791 1596.3861901544 0.9654 1229 874.9126615873 0.9902
55 3584 524.6111466425 1.0000 2561 846.0383142629 0.9873 1159 836.5863697410 0.9875 413 1068.2870335468 0.9627 116 1437.4166223652 0.8985 3229 560.2436976641 0.9914 2512 922.9976156991 0.9856 1179 876.2626646691 0.9882 402 1210.8532313761 0.9601 114 1533.8586803518 0.9100 711 1152.9130363887 0.9039 1197 825.6486929660 0.9926 890 1594.8134942917 0.9663 1367 874.3567317574 0.9909
60 3879 524.6111466425 1.0000 2794 846.0383142629 0.9873 1269 836.5863697410 0.9875 468 1067.0827011920 0.9638 147 1427.9344541158 0.9044 3496 560.2436976641 0.9914 2727 922.9976156991 0.9856 1293 876.2626646691 0.9882 461 1210.5651795535 0.9603 145 1527.2166785273 0.9140 793 1149.1427553662 0.9069 1320 825.6486929660 0.9926 990 1594.8134942917 0.9663 1507 874.3567317574 0.9909
