0 0 2185.2401094009 0.5910 0 2113.3605739025 0.6605
5 399 1533.7872697966 0.8420 413 1488.0714839681 0.9380
10 949 1499.4465102685 0.8613 887 1483.1155135008 0.9412
15 1484 1487.5662129362 0.8682 1348 1472.8726233254 0.9477
20 2039 1474.7344356527 0.8757 1784 1472.5490728906 0.9479
25 2604 1474.7344356527 0.8757 2237 1466.5773431141 0.9518
30 3196 1457.4385650580 0.8861 2703 1457.2599866320 0.9579
35 3797 1450.5958471700 0.8903 3182 1448.6802569446 0.9635
40 4379 1448.5349267247 0.8916 3660 1448.6651655496 0.9635
45 4952 1445.9087490764 0.8932 4129 1442.3172701648 0.9678
50 5520 1439.5882755871 0.8971 4602 1442.3172701648 0.9678
55 6123 1437.4079942907 0.8985 5082 1441.6017297907 0.9683
60 6704 1427.7899639927 0.9045 5550 1438.4631816101 0.9704
