0, 8.0e-06, -18547.461946237727
10, 0.123278, -4578.650383558079
20, 0.245714, -3447.720312966838
30, 0.382682, -3159.7127111183545
40, 0.508615, -2852.933339326484
50, 0.630853, -2737.6960217769774
60, 0.764169, -2652.3863493191857
70, 0.885386, -2466.246421643271
80, 1.008681, -2438.9119823350284
90, 1.131286, -2342.2286315633264
100, 1.254242, -2340.889434072813
110, 1.376373, -2242.566364516535
120, 1.49697, -2242.566364516535
130, 1.62268, -2120.634038712822
140, 1.753576, -2120.634038712822
150, 1.875329, -1892.8805232838313
160, 1.999212, -1867.5265822680776
170, 2.119816, -1867.5265822680776
180, 2.240951, -1857.6853251964549
190, 2.38162, -1768.6216057273014
200, 2.505459, -1757.1157935103292
210, 2.628504, -1757.1157935103292
220, 2.751756, -1748.5812446308792
230, 2.880231, -1728.0352974919078
240, 3.001858, -1719.2426927447614
250, 3.125114, -1719.2426927447614
260, 3.252011, -1704.924024896789
270, 3.384401, -1700.581495944516
280, 3.507203, -1700.581495944516
290, 3.628025, -1700.581495944516
300, 3.747967, -1671.677252365549
310, 3.870769, -1660.1038607353003
320, 3.994824, -1660.1038607353003
330, 4.119567, -1660.1038607353003
340, 4.241103, -1660.1038607353003
350, 4.371714, -1660.1038607352984
360, 4.494045, -1633.1509917894218
370, 4.619868, -1633.1509917894218
380, 4.745058, -1580.81216257497
390, 4.867241, -1580.81216257497
400, 4.992265, -1579.2289161532026
410, 5.115452, -1579.2289161532026
420, 5.238021, -1579.2289161532026
430, 5.363785, -1579.2289161532026
440, 5.485657, -1327.254559949697
450, 5.606899, -1285.2041656808833
460, 5.731159, -1285.2041656808833
470, 5.856931, -1285.2041656808833
480, 5.988473, -1285.2041656808833
490, 6.109377, -1285.2041656808833
500, 6.233302, -1285.2041656808833
510, 6.371538, -1285.2041656808833
520, 6.50496, -1285.2041656808833
530, 6.630487, -1285.2041656808833
540, 6.752122, -1285.2041656808833
550, 6.874911, -1087.5409345808257
560, 6.998511, -1087.5409345808257
570, 7.136108, -825.9651374052683
580, 7.267206, -825.9651374052683
590, 7.403505, -814.0197500270933
600, 7.527975, -814.0197500270933
610, 7.651595, -778.623127937688
620, 7.774607, -778.623127937688
630, 7.892206, -778.623127937688
640, 8.014151, -778.623127937688
650, 8.135909, -778.623127937688
660, 8.2549, -778.623127937688
670, 8.38266, -778.623127937688
680, 8.50657, -778.623127937688
690, 8.631164, -778.623127937688
700, 8.753464, -775.5710822995588
710, 8.876259, -775.5710822995588
720, 9.001332, -775.5710822995588
730, 9.116885, -775.5710822995588
740, 9.239821, -775.5710822995588
750, 9.365411, -775.5710822995588
760, 9.496238, -775.5710822995588
770, 9.619263, -775.5710822995588
780, 9.740345, -775.5710822995588
790, 9.866402, -775.5710822995588
800, 9.998243, -775.5710822995588
810, 10.122107, -775.5710822995588
820, 10.244771, -775.5710822995588
830, 10.370529, -775.5710822995588
840, 10.493881, -775.5710822995588
850, 10.616131, -775.5710822995588
860, 10.755524, -775.5710822995588
870, 10.87748, -775.5710822995588
880, 10.999393, -775.5710822995588
890, 11.120995, -775.5710822995588
900, 11.248204, -775.5710822995588
910, 11.371156, -775.5710822995588
920, 11.494817, -775.5710822995588
930, 11.616156, -775.5710822995588
940, 11.741475, -725.6221497919032
950, 11.870879, -725.6221497919032
960, 11.993993, -725.6221497919032
970, 12.119613, -725.6221497919032
980, 12.24109, -725.6221497919032
990, 12.374855, -725.6221497919032
1000, 12.518043, -725.6221497919032
1010, 12.642596, -715.3652825466415
1020, 12.768663, -715.3652825466415
1030, 12.891248, -700.2982557716969
1040, 13.01206, -700.2982557716969
1050, 13.136071, -700.2982557716969
1060, 13.261919, -700.2982557716969
1070, 13.389803, -700.2982557716969
1080, 13.51222, -700.2982557716969
1090, 13.635137, -700.2982557716969
1100, 13.754717, -700.2982557716969
1110, 13.881487, -700.2982557716969
1120, 14.003905, -700.2982557716969
1130, 14.127198, -700.2982557716969
1140, 14.247069, -700.2982557716969
1150, 14.385398, -675.5313530651383
1160, 14.507178, -675.5313530651383
1170, 14.627826, -675.5313530651383
1180, 14.749835, -675.5313530651383
1190, 14.873859, -675.5313530651383
1200, 14.997139, -675.5313530651383
1210, 15.120962, -675.5313530651383
1220, 15.241822, -675.5313530651383
1230, 15.368226, -675.5313530651383
1240, 15.49198, -675.5313530651383
1250, 15.617663, -675.5313530651383
1260, 15.739071, -675.5313530651383
1270, 15.865789, -675.5313530651383
1280, 15.990221, -675.5313530651383
1290, 16.10797, -675.5313530651383
1300, 16.231204, -675.5313530651383
1310, 16.368028, -675.5313530651383
1320, 16.4929, -675.5313530651383
1330, 16.61636, -675.5313530651383
1340, 16.738332, -675.5313530651383
1350, 16.866486, -663.7011401479958
1360, 16.989079, -663.7011401479958
1370, 17.110398, -663.7011401479958
1380, 17.230528, -663.7011401479958
1390, 17.353901, -663.7011401479958
1400, 17.480006, -663.7011401479958
1410, 17.603427, -663.7011401479958
1420, 17.726941, -663.7011401479958
1430, 17.85181, -663.7011401479958
1440, 17.98246, -663.7011401479958
1450, 18.105785, -654.8500280847693
1460, 18.227569, -654.8500280847693
1470, 18.360008, -654.8500280847693
1480, 18.488684, -654.8500280847693
1490, 18.60999, -654.8500280847693
1500, 18.732301, -654.8500280847693
1510, 18.853038, -654.8500280847693
1520, 18.973434, -654.8500280847693
1530, 19.094535, -654.8500280847693
1540, 19.218957, -654.8500280847693
1550, 19.345171, -654.8500280847693
1560, 19.471591, -654.8500280847693
1570, 19.591277, -635.1892028318089
1580, 19.714487, -635.1892028318089
