0 0 738.4164959715 0.0000 0 1172.8671116299 0.0000 0 1289.3378039071 0.0000 0 1683.8007690754 0.0000 0 2096.6989825009 0.0000 0 831.4658549859 0.0000 0 1223.7391865190 0.0000 0 1380.1124298331 0.0000 0 1890.0784420430 0.0000 0 2168.7316743186 0.0000 0 1631.0263633678 0.0000 0 1089.0070630305 0.0000 0 1862.0454844571 0.0000 0 1216.1932939520 0.0000
5 308 524.6111466425 1.0000 42 960.9262207688 0.8692 20 872.8209236478 0.9465 69 1162.9574266874 0.8843 184 1438.9166350249 0.8975 506 556.6791413260 0.9978 100 932.4921069894 0.9755 62 896.6095887019 0.9658 373 1236.5820771201 0.9401 9 2168.7316743186 0.0000 12 1214.7140761684 0.8579 59 853.8835593735 0.9598 681 1654.3350267216 0.9316 226 906.9290810754 0.9553
10 1037 524.6111466425 1.0000 93 920.0111206050 0.9079 42 855.8766584980 0.9653 139 1123.2580821313 0.9156 365 1406.9959848002 0.9179 1300 555.4302364991 1.0000 482 926.5361919108 0.9818 122 875.9351470969 0.9886 752 1229.8253175079 0.9453 65 2168.7316743186 0.0000 25 1182.2999586410 0.8814 118 825.6486929660 0.9926 1369 1641.4795181340 0.9389 682 873.7124198970 0.9916
15 1602 524.6111466425 1.0000 178 898.9777306259 0.9291 65 841.2317167094 0.9821 207 1119.0039887584 0.9190 542 1398.8886298605 0.9232 2142 555.4302364991 1.0000 863 926.5361919108 0.9818 177 867.6778479825 0.9980 1127 1225.3863790632 0.9487 243 1704.1404212952 0.8191 38 1148.3143471884 0.9075 179 825.6486929660 0.9926 2065 1640.6837661216 0.9393 1162 873.5489042924 0.9918
20 2141 524.6111466425 1.0000 416 870.8680938884 0.9591 90 830.0183879951 0.9953 276 1083.8604559021 0.9488 719 1386.7887253818 0.9313 2858 555.4302364991 1.0000 1246 917.0056859080 0.9920 230 865.9445056376 1.0000 1511 1221.5081865710 0.9517 417 1637.8958181452 0.8522 52 1130.8449585347 0.9215 238 825.6486929660 0.9926 2732 1639.0889038477 0.9402 1652 873.5489042924 0.9918
25 2638 524.6111466425 1.0000 682 861.0948042161 0.9700 121 827.5304267713 0.9983 344 1070.5788371205 0.9606 900 1381.0756140686 0.9351 3470 555.4302364991 1.0000 1632 915.4295714898 0.9937 285 865.9445056376 1.0000 1891 1221.5081865710 0.9517 593 1576.5287733758 0.8854 68 1129.1733452929 0.9229 296 825.6486929660 0.9926 3415 1563.1045639214 0.9859 2157 866.9655377782 0.9993
30 3118 524.6111466425 1.0000 944 861.0948042161 0.9700 160 827.5304267713 0.9983 414 1066.3466590314 0.9644 1082 1376.5417484388 0.9382 4040 555.4302364991 1.0000 2018 913.3681257734 0.9960 340 865.9445056376 1.0000 2276 1220.7635917902 0.9523 777 1557.6795941266 0.8961 84 1122.5314576369 0.9284 356 825.6486929660 0.9926 4065 1555.5360554942 0.9907 2675 866.9655377782 0.9993
35 3568 524.6111466425 1.0000 1211 861.0948042161 0.9700 242 827.5304267713 0.9983 481 1065.7831595104 0.9649 1258 1374.6545808726 0.9395 4622 555.4302364991 1.0000 2401 913.3681257734 0.9960 394 865.9445056376 1.0000 2645 1207.1176014309 0.9631 950 1523.4469769702 0.9162 103 1096.5295535996 0.9504 415 819.5575441875 1.0000 4729 1555.5360554942 0.9907 3114 866.9655377782 0.9993
40 4032 524.6111466425 1.0000 1468 844.5736272542 0.9890 365 827.5304267713 0.9983 549 1058.6752205792 0.9714 1433 1371.5740946005 0.9416 5171 555.4302364991 1.0000 2761 913.3681257734 0.9960 448 865.9445056376 1.0000 3023 1205.1383535526 0.9647 1126 1501.9061728849 0.9294 124 1095.8495603961 0.9510 474 819.5575441875 1.0000 5197 1555.2994813586 0.9909 3568 866.3652093738 1.0000
45 4456 524.6111466425 1.0000 1727 843.8053533013 0.9899 489 827.5304267713 0.9983 615 1057.4008516457 0.9726 1616 1370.8879055025 0.9421 5684 555.4302364991 1.0000 3082 913.3681257734 0.9960 502 865.9445056376 1.0000 3419 1198.8057261381 0.9698 1295 1499.9109849992 0.9306 149 1095.8495603961 0.9510 532 819.5575441875 1.0000 5866 1555.2994813586 0.9909 4087 866.3652093738 1.0000
50 4875 524.6111466425 1.0000 1992 835.8905991201 0.9992 605 826.1369729550 1.0000 683 1057.4008516457 0.9726 1803 1370.8879055025 0.9421 6172 555.4302364991 1.0000 3405 913.3681257734 0.9960 557 865.9445056376 1.0000 3784 1198.8057261381 0.9698 1484 1496.6418517561 0.9327 183 1093.1946825147 0.9533 593 819.5575441875 1.0000 6407 1555.2994813586 0.9909 4477 866.3652093738 1.0000
55 5270 524.6111466425 1.0000 2256 835.7665717827 0.9994 729 826.1369729550 1.0000 750 1057.4008516457 0.9726 1987 1361.3142883291 0.9487 6660 555.4302364991 1.0000 3723 913.3681257734 0.9960 612 865.9445056376 1.0000 4168 1196.3187563354 0.9718 1669 1495.6771810868 0.9333 235 1093.1946825147 0.9533 654 819.5575441875 1.0000 6838 1555.2994813586 0.9909 4824 866.3652093738 1.0000
60 5658 524.6111466425 1.0000 2518 835.7665717827 0.9994 853 826.1369729550 1.0000 818 1057.4008516457 0.9726 2167 1360.8533763545 0.9490 7120 555.4302364991 1.0000 4010 913.3681257734 0.9960 667 865.9445056376 1.0000 4545 1196.3187563354 0.9718 1854 1490.4856224190 0.9365 315 1080.2024277293 0.9647 714 819.5575441875 1.0000 7228 1555.2994813586 0.9909 5180 866.3652093738 1.0000
