0 0 774.6805069191 0.0000 0 1098.3921913626 0.0000 0 1393.4429328785 0.0000 0 1712.7824295990 0.0000 0 2071.3288544166 0.0000 0 790.6587915933 0.0000 0 1153.5707963029 0.0000 0 1432.2322720383 0.0000 0 1826.4306633049 0.0000 0 2153.4805829066 0.0000 0 1264.8847077014 0.0000 0 1370.6328378080 0.0000 0 1376.6413365553 0.0000 0 1154.9120704227 0.0000
5 122 605.4048834123 0.8665 132 972.2256497215 0.8591 93 901.3135332521 0.9166 55 1531.1641537594 0.6717 34 2071.3288544166 0.0000 205 575.0182339711 0.9659 137 1153.5707963029 0.0000 94 1432.2322720383 0.0000 57 1826.4306633049 0.0000 39 2153.4805829066 0.0000 65 1150.7828053483 0.9056 94 831.7000290421 0.9854 77 1376.6413365553 0.0000 93 947.0031008777 0.9149
10 306 592.5041192409 0.8854 253 950.5856453890 0.8787 185 888.8720437409 0.9294 108 1324.6487217325 0.7764 72 1777.6369337681 0.7265 395 575.0182339711 0.9659 277 1153.5707963029 0.0000 187 1004.9401895746 0.8617 113 1826.4306633049 0.0000 77 2153.4805829066 0.0000 129 1103.6939301533 0.9442 183 826.3290772153 0.9918 154 1376.6413365553 0.0000 192 933.0521581398 0.9285
15 497 576.0875860171 0.9106 379 950.5856453890 0.8787 278 881.8138564397 0.9369 160 1262.9760201126 0.8143 109 1613.6189613033 0.8003 603 575.0182339711 0.9659 416 1153.5707963029 0.0000 282 990.2314071454 0.8745 168 1826.4306633049 0.0000 113 2153.4805829066 0.0000 193 1096.0337180432 0.9508 277 826.3290772153 0.9918 226 1724.3737679557 0.8937 294 930.1766624182 0.9314
20 703 576.0875860171 0.9106 516 949.2808441339 0.8799 372 881.8138564397 0.9369 214 1230.4791505354 0.8358 146 1583.8834619444 0.8154 804 575.0182339711 0.9659 545 1153.5707963029 0.0000 375 973.2719267373 0.8897 223 1826.4306633049 0.0000 149 2153.4805829066 0.0000 257 1092.4111089971 0.9540 373 826.3290772153 0.9918 294 1720.4473856541 0.8958 393 930.1766624182 0.9314
25 907 571.5327138672 0.9179 658 943.6195207008 0.8852 463 881.8138564397 0.9369 266 1226.1977955390 0.8387 183 1564.9242619441 0.8252 1014 571.9608151315 0.9711 690 1153.5707963029 0.0000 470 945.1153644166 0.9162 277 1826.4306633049 0.0000 187 2153.4805829066 0.0000 322 1092.4111089971 0.9540 469 826.3290772153 0.9918 370 1701.5586118714 0.9057 495 918.7975571470 0.9429
30 1114 565.9148926913 0.9270 787 943.6195207008 0.8852 555 881.8138564397 0.9369 318 1218.8222932303 0.8438 221 1555.2206303564 0.8304 1182 569.6781489044 0.9750 823 1153.5707963029 0.0000 564 945.1153644166 0.9162 333 1826.4306633049 0.0000 224 2153.4805829066 0.0000 380 1091.4290997749 0.9548 566 826.3290772153 0.9918 444 1691.2681962579 0.9112 595 918.1802347816 0.9436
35 1321 562.3190176032 0.9329 927 943.6195207008 0.8852 645 881.8138564397 0.9369 370 1212.4975159916 0.8482 257 1549.0910903533 0.8337 1369 569.6781489044 0.9750 961 1153.5707963029 0.0000 661 945.1153644166 0.9162 387 1826.4306633049 0.0000 262 2153.4805829066 0.0000 442 1091.4290997749 0.9548 650 826.3290772153 0.9918 519 1689.5305223602 0.9122 695 905.8657209800 0.9564
40 1528 557.1762085772 0.9416 1075 943.6195207008 0.8852 740 881.8138564397 0.9369 422 1209.2544325027 0.8505 294 1533.2455532745 0.8423 1570 565.2193800622 0.9827 1109 1153.5707963029 0.0000 757 945.1153644166 0.9162 440 1826.4306633049 0.0000 300 2153.4805829066 0.0000 506 1091.4290997749 0.9548 736 826.3290772153 0.9918 595 1676.0826790173 0.9195 795 905.8657209800 0.9564
45 1735 557.1762085772 0.9416 1220 929.7922242837 0.8983 831 881.8138564397 0.9369 475 1209.2544325027 0.8505 331 1532.9898771829 0.8424 1760 565.2193800622 0.9827 1256 1153.5707963029 0.0000 849 941.3414993111 0.9199 490 1826.4306633049 0.0000 337 2153.4805829066 0.0000 569 1091.4290997749 0.9548 827 826.3290772153 0.9918 668 1673.3546385661 0.9210 897 903.2578846374 0.9592
50 1942 557.1762085772 0.9416 1363 926.1845579065 0.9018 923 881.8138564397 0.9369 527 1204.2913259657 0.8540 368 1531.9496935167 0.8430 1953 565.2193800622 0.9827 1401 1153.5707963029 0.0000 944 941.3414993111 0.9199 546 1374.6329076674 0.8457 374 2153.4805829066 0.0000 633 1091.4290997749 0.9548 926 826.3290772153 0.9918 744 1670.1207817998 0.9228 997 903.2578846374 0.9592
55 2143 557.1762085772 0.9416 1510 926.1845579065 0.9018 1016 873.7544527543 0.9455 580 1203.4747957560 0.8545 405 1522.2209329346 0.8484 2148 565.2193800622 0.9827 1549 1153.5707963029 0.0000 1037 941.3414993111 0.9199 601 1370.8858839268 0.8480 412 2153.4805829066 0.0000 695 1091.4290997749 0.9548 1024 826.3290772153 0.9918 821 1668.3399523984 0.9238 1099 903.2578846374 0.9592
60 2348 557.1762085772 0.9416 1658 925.9689646959 0.9020 1108 873.7544527543 0.9455 632 1203.4747957560 0.8545 442 1520.8973113135 0.8491 2347 565.2193800622 0.9827 1697 1153.5707963029 0.0000 1131 941.3414993111 0.9199 656 1356.4278484081 0.8571 450 2153.4805829066 0.0000 759 1091.4290997749 0.9548 1124 825.3770366257 0.9930 895 1662.7035329818 0.9269 1200 903.2578846374 0.9592
